"BehaviorSpace results (NetLogo 6.1.0)"
"Sugarscape Pension Law.nlogo"
"pensionsExperiments"
"08/12/2019 15:23:25:918 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","minimum-sugar-endowment","maximum-sugar-endowment","visualization","random-initial-age","resources-occupation","social-services","productivity-decay","initial-population","retirement-age","pension-taxes","fixed-fee","[step]","precision piggy-bank 2","precision  (   accumulated-gdp / ( ticks + 1) )  2","precision  ( (gini-index-reserve / count turtles) * 2)  2","died-working-turtles","died-retired-turtles","(died-retired-turtles + died-working-turtles)"
"141","5","25","no-visualization","true","true","false","false","400","100","28.3","0.5","1000","469294.55","983.92","0.41","10953","0","10953"
"142","5","25","no-visualization","true","true","false","false","400","100","28.3","0.5","1000","469167.9","984.37","0.43","11415","0","11415"
"143","5","25","no-visualization","true","true","false","false","400","100","28.3","0.5","1000","469083.98","983.68","0.41","11391","0","11391"
"144","5","25","no-visualization","true","true","false","false","400","100","28.3","0.5","1000","469475.73","985.38","0.4","11292","0","11292"
"145","5","25","no-visualization","true","true","false","false","400","100","28.3","0.5","1000","468676.76","983.9","0.41","11803","0","11803"
"146","5","25","no-visualization","true","true","false","false","400","100","28.3","0.5","1000","468997.13","984.47","0.41","11548","0","11548"
"148","5","25","no-visualization","true","true","false","false","400","100","28.3","0.5","1000","469530.59","985.4","0.41","11284","0","11284"
"147","5","25","no-visualization","true","true","false","false","400","100","28.3","0.5","1000","469137.98","983.63","0.41","11399","0","11399"
"149","5","25","no-visualization","true","true","false","false","400","100","28.3","0.5","1000","469357.28","983.96","0.42","11181","0","11181"
"150","5","25","no-visualization","true","true","false","false","400","100","28.3","0.5","1000","469430.03","984.82","0.41","11286","0","11286"
"151","5","25","no-visualization","true","true","false","false","400","100","28.3","1","1000","627683.23","985.56","0.46","12688","0","12688"
"152","5","25","no-visualization","true","true","false","false","400","100","28.3","1","1000","626602.82","985.29","0.48","12862","0","12862"
"153","5","25","no-visualization","true","true","false","false","400","100","28.3","1","1000","626372.28","986.01","0.47","12888","0","12888"
"154","5","25","no-visualization","true","true","false","false","400","100","28.3","1","1000","625960.16","985.69","0.46","12795","0","12795"
"155","5","25","no-visualization","true","true","false","false","400","100","28.3","1","1000","626413","986.07","0.45","12623","0","12623"
"156","5","25","no-visualization","true","true","false","false","400","100","28.3","1","1000","626662.36","984.88","0.49","12633","0","12633"
"157","5","25","no-visualization","true","true","false","false","400","100","28.3","1","1000","626380.08","986.61","0.44","12871","0","12871"
"158","5","25","no-visualization","true","true","false","false","400","100","28.3","1","1000","627508.21","983.83","0.48","12802","0","12802"
"159","5","25","no-visualization","true","true","false","false","400","100","28.3","1","1000","626590.72","985.85","0.44","12823","0","12823"
"161","5","25","no-visualization","true","true","false","false","400","65","0","0","1000","0","885.03","0.45","3758","1041","4799"
"160","5","25","no-visualization","true","true","false","false","400","100","28.3","1","1000","626176.11","986.29","0.46","13076","0","13076"
"162","5","25","no-visualization","true","true","false","false","400","65","0","0","1000","0","883.79","0.46","3932","990","4922"
"163","5","25","no-visualization","true","true","false","false","400","65","0","0","1000","0","881.85","0.45","3858","945","4803"
"164","5","25","no-visualization","true","true","false","false","400","65","0","0","1000","0","885.7","0.45","3865","994","4859"
"166","5","25","no-visualization","true","true","false","false","400","65","0","0","1000","0","880.52","0.46","3866","981","4847"
"165","5","25","no-visualization","true","true","false","false","400","65","0","0","1000","0","883.32","0.48","3865","1020","4885"
"167","5","25","no-visualization","true","true","false","false","400","65","0","0","1000","0","883.66","0.47","3738","1004","4742"
